police_district,avg_response_time
Bayview,12645.457607487027
Central,10132.43946407045
Ingleside,11786.719775835178
Mission,10297.087742261918
Northern,15326.83437117139
Out of SF,21453.09092167813
Park,10414.465499239283
Richmond,12589.361280957199
Southern,12800.40105909862
Taraval,14186.951025190392
Tenderloin,9662.99229150074
