inc_weekday,num_incidents
Friday,399.57706093189967
Monday,367.86071428571427
Saturday,368.27240143369175
Sunday,343.59856630824373
Thursday,373.01433691756273
Tuesday,365.89285714285717
Wednesday,387.247311827957
